station_name,wigos_station_identifier,traditional_station_identifier,facility_type,latitude,longitude,elevation,territory_name,wmo_region
PARRY SOUND CCG,0-20000-0-71172,71172,Land (fixed),45.33333333,-80.03333333,176.3,Canada,IV
PARY RACS-GLCORS,0-124-10010-M023001,M023001,Land (fixed),45.338544,-80.035883,181.06,Canada,IV
PAULATUK,0-20000-0-71984,71984,Land (fixed),69.35,-124.0666667,6.3,Canada,IV
PEACE RIVER A,0-20000-0-71068,71068,Land (fixed),56.22694444,-117.4472222,570.9,Canada,IV
PEAWANUCK (AUT),0-20000-0-71434,71434,Land (fixed),54.990319,-85.440717,52.74,Canada,IV
PEKISKO,0-124-0-71669,71669,Land (fixed),50.36851,-114.415,1395.34,Canada,IV
PELLY ISLAND,0-20000-0-71502,71502,Land (fixed),69.61666667,-135.4333333,17,Canada,IV
PELLY RANCH FORT SELKIRK,0-124-0-73013,73013,Land (fixed),62.83339,-137.312,436.39,Canada,IV
PEMBERTON AIRPORT CS,0-20000-0-71777,71777,Land (fixed),50.3,-122.7333333,204.31,Canada,IV
PEMBROKE CLIMATE,0-20000-0-71196,71196,Land (fixed),45.85,-77.25,159.13,Canada,IV
PENTICTON A,0-20000-0-71889,71889,Land (fixed),49.4625,-119.6022222,344.4,Canada,IV
PEORIA AGDM,0-20000-0-71348,71348,Land (fixed),55.62111111,-118.2930556,621.21,Canada,IV
PETAWAWA A,0-20000-0-71625,71625,Land (fixed),45.95,-77.31666667,130.1,Canada,IV
PETAWAWA AWOS,0-20000-0-71531,71531,Land (fixed),45.91666667,-77.3,130.1,Canada,IV
PETERBOROUGH TRENT U,0-20000-0-71672,71672,Land (fixed),44.35,-78.28333333,216,Canada,IV
PETERBOROUGH,0-20000-0-71436,71436,Land (fixed),44.23,-78.36333333,191.4,Canada,IV
PG Marsulex,0-124-15003-233,233,Land (fixed),53.845173,-122.73395,595,Canada,IV
PGC5 WCDA-PGC,0-124-10010-987003,987003,Land (fixed),48.648529,-123.451111,22.54,Canada,IV
PICKLE LAKE (AUT),0-20000-0-71835,71835,Land (fixed),51.43333333,-90.21666667,390.8,Canada,IV
PICKLE LAKE A,0-20000-0-71845,71845,Land (fixed),51.44638889,-90.21416667,386.2,Canada,IV
PICKLE LAKE UA,0-20001-0-71845,71845,Land (fixed),51.45,-90.2,386.2,Canada,IV
PICL CACS-GSD,0-124-10010-M013001,M013001,Land (fixed),51.4798,-90.161964,353.03,Canada,IV
PILGER,0-124-0-71655,71655,Land (fixed),52.41898,-105.153,555.65,Canada,IV
PILOT MOUND (AUT),0-20000-0-71148,71148,Land (fixed),49.18333333,-98.9,471,Canada,IV
PINAWA,0-20000-0-71448,71448,Land (fixed),50.16666667,-96.05,266.61,Canada,IV
PINCHER CREEK CLIMATE,0-20000-0-71736,71736,Land (fixed),49.51666667,-114,1187.69,Canada,IV
PINCHER CREEK,0-20000-0-71085,71085,Land (fixed),49.52055556,-113.9972222,1189.6,Canada,IV
PITT MEADOWS CS,0-20000-0-71775,71775,Land (fixed),49.2,-122.6833333,5,Canada,IV
POINT ATKINSON,0-20000-0-71037,71037,Land (fixed),49.31666667,-123.25,13,Canada,IV
POINT LEPREAU CS,0-124-0-71699,71699,Land (fixed),45.07315,-66.4494,6,Canada,IV
POINT PELEE CS,0-20000-0-71303,71303,Land (fixed),41.94861111,-82.51888889,176.8,Canada,IV
POINT PETRE (AUT),0-20000-0-71430,71430,Land (fixed),43.83333333,-77.15,78.6,Canada,IV
POINTE CLAVEAU,0-20000-0-71189,71189,Land (fixed),48.25,-70.1,7.98,Canada,IV
POINTE DE L'ISLET,0-20000-0-71190,71190,Land (fixed),48.135333,-69.716938,7,Canada,IV
POINTE NOIRE CS,0-20000-0-71390,71390,Land (fixed),50.15,-66.43333333,29.87,Canada,IV
POINTE-AU-PERE (INRS),0-20000-0-71554,71554,Land (fixed),48.51391,-68.468336,4,Canada,IV
POINTE-DES-MONTS,0-20000-0-71427,71427,Land (fixed),49.31666667,-67.36666667,5.53,Canada,IV
POLLOCKVILLE AGDM,0-20000-0-71259,71259,Land (fixed),51.12527778,-111.7052778,750,Canada,IV
POND INLET A,0-20000-0-71095,71095,Land (fixed),72.68944444,-77.96888889,61.6,Canada,IV
POND INLET CLIMATE,0-20000-0-71576,71576,Land (fixed),72.68333333,-77.95,66.27,Canada,IV
POOLS ISLAND,0-20000-0-71931,71931,Land (fixed),49.1,-53.56666667,19.3,Canada,IV
PORT ALBERNI (AUT),0-20000-0-71475,71475,Land (fixed),49.316583,-124.926833,76.2,Canada,IV
PORT AUX BASQUES,0-20000-0-71197,71197,Land (fixed),47.574,-59.155,39.7,Canada,IV
PORT COLBORNE,0-124-600-4500142,4500142,Sea (fixed),42.73671,-79.28986,173,Canada,IV
PORT COLBORNE (AUT),0-20000-0-71463,71463,Land (fixed),42.8667,-79.25,183.5,Canada,IV
PORT HARDY A,0-20000-0-71109,71109,Land (fixed),50.68055556,-127.3666667,21.6,Canada,IV
PORT HARDY UA,0-20001-0-71109,71109,Land (fixed),50.685,-127.3758333,17.4,Canada,IV
PORT HAWKESBURY,0-20000-0-71041,71041,Land (fixed),45.65666667,-61.36805556,114.9,Canada,IV
PORT MELLON,0-20000-0-71605,71605,Land (fixed),49.51666667,-123.4833333,129,Canada,IV
PORT STANLEY,0-124-600-4500132,4500132,Sea (fixed),42.4633,-81.2157,173,Canada,IV
PORT WELLER (AUT),0-20000-0-71432,71432,Land (fixed),43.25,-79.2167,79,Canada,IV
PORT-MENIER,0-20000-0-71810,71810,Land (fixed),49.83333333,-64.28333333,53.63,Canada,IV
PORTAGE SOUTHPORT,0-20000-0-71851,71851,Land (fixed),49.903055,-98.283806,272.7,Canada,IV
POWELL RIVER,0-20000-0-71720,71720,Land (fixed),49.8346,-124.4968,125,Canada,IV
PPER RACS-GLCORS,0-124-10010-9929000,9929000,Land (fixed),48.51683,-68.469441,5.49,Canada,IV
PRAIRIE RIVER,0-20000-0-71593,71593,Land (fixed),58.62722222,-111.6794444,211.8,Canada,IV
PRDS CACS-GSD,0-124-10010-756047,756047,Land (fixed),50.871346,-114.29348,1263.89,Canada,IV
PRENTISS,0-20000-0-71353,71353,Land (fixed),52.43333333,-113.6,965,Canada,IV
PRINCE ALBERT A,0-20000-0-71869,71869,Land (fixed),53.21666667,-105.6666667,428.2,Canada,IV
PRINCE EDWARD PT,0-124-600-4500135,4500135,Sea (fixed),43.78444,-76.86778,74,Canada,IV
PRINCE GEORGE AIRPORT AUTO,0-20000-0-71302,71302,Land (fixed),53.88333333,-122.6666667,677.88,Canada,IV
PRINCE GEORGE UA,0-20000-0-71908,71908,Land (fixed),53.9,-122.79,600.54,Canada,IV
PRINCE GEORGE,0-20000-0-71896,71896,Land (fixed),53.88416667,-122.6775,691,Canada,IV
PRINCE RUPERT AWOS,0-20000-0-71898,71898,Land (fixed),54.28611111,-130.4447222,35.4,Canada,IV
PRINCE RUPERT,0-20000-0-71022,71022,Land (fixed),54.28611111,-130.4447222,35.4,Canada,IV
PRINCETON CS,0-20000-0-71032,71032,Land (fixed),49.465159,-120.514858,696.69,Canada,IV
PSTA,0-124-10010-M173000,M173000,Land (fixed),42.657886,-81.213826,181.28,Canada,IV
PTAL WCDA-PGC,0-124-10010-M027000,M027000,Land (fixed),49.256325,-124.860938,108.72,Canada,IV
PTRF WCDA-PGC,0-124-10010-M077000,M077000,Land (fixed),48.544265,-124.413041,190.87,Canada,IV
PUKASKWA (AUT),0-20000-0-71750,71750,Land (fixed),48.607722,-86.287361,191,Canada,IV
PUNTZI MOUNTAIN (AUT),0-20000-0-71050,71050,Land (fixed),52.108869,-124.152797,910.14,Canada,IV
PWEL RACS-GLCORS,0-124-10010-M023002,M023002,Land (fixed),43.236723,-79.21966,80.64,Canada,IV
Park Mountain,0-124-15003-1F03P,1F03P,Land (fixed),50.4495,-118.619,1890,Canada,IV
Pemberton Meadows AGRI,0-124-15005-AGPM022,AGPM022,Land (fixed),50.4912,-122.966,226,Canada,IV
